regime,path,source_sha,starting_step,ending_step,starting_time,ending_time,starting_grains,ending_grains,status
G_LOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/G_LOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,981,0.0,39.23999999999934,200,130,completed
G_HIGH,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/G_HIGH-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1400,0.0,55.999999999998984,200,150,completed
T_LOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/T_LOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,890,0.0,35.59999999999942,200,130,completed
T_HIGH,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/T_HIGH-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1400,0.0,55.999999999998984,200,139,completed
GS_PACKET_05,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/GS_PACKET_05-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1400,0.0,55.999999999998984,200,152,completed
GS_PACKET_2,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/GS_PACKET_2-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1400,0.0,55.999999999998984,200,151,completed
C_GB_FAST,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_FAST-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,874,0.0,34.95999999999943,200,130,completed
C_GB_SLOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_SLOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1400,0.0,55.999999999998984,200,134,completed
C_GBTJ_FAST,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_FAST-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,877,0.0,35.07999999999943,200,130,completed
C_GBTJ_SLOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_SLOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,1006,0.0,40.23999999999932,200,130,completed
