regime,sink_path,completed_cycles,observed_cycle_intervals,observed_mean_cycle_time,observed_median_cycle_time,observed_p10_cycle_time,observed_p90_cycle_time,serial_stage_mean_prediction,hypoexponential_predicted_mean,hypoexponential_predicted_median,hypoexponential_predicted_p10,hypoexponential_predicted_p90,hypoexponential_ks_statistic,hypoexponential_ks_pvalue,hypoexponential_model
C_GB,gb_disconnection_sink,1200,1200,4.238236485802713,0.9137274540668625,0.05258519884822697,7.7554058437489415,2.0018287168087574,2.0089568454804296,0.8772216680220914,0.055836785542426645,5.359258730523354,0.05447791164658644,0.0016845540841317996,conditional_stage_rate_mixture
C_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GC_GB,gb_disconnection_sink,1240,1240,18.468074927046427,6.852906409784971,0.1709450365321992,56.91217827670121,1.9053756165931397,1.920415696524881,0.8082661898856092,0.05518638836651129,5.084205369633339,0.4485181451612903,2.4575434960470385e-225,conditional_stage_rate_mixture
GC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
TC_GB,gb_disconnection_sink,1214,1213,4.49476612381618,0.8749595628282378,0.05629040717670648,8.389311477843568,1.830192091735135,1.8292703092510878,0.7808966632025721,0.05283036480643177,4.848554140415716,0.06846560633784415,2.507738183952995e-05,conditional_stage_rate_mixture
TC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
SC_GB,gb_disconnection_sink,2404,2401,3.6946405790324968,1.1179530309838128,0.08824802417092314,6.747678317300142,2.02222626280018,2.022580507152634,1.0806785016118146,0.09566326152373629,5.056297482994667,0.049806483071078045,1.71270414550254e-05,conditional_stage_rate_mixture
SC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GTC_GB,gb_disconnection_sink,1253,1253,20.159330475819754,7.597912813336492,0.17745730855039163,59.911483713750364,1.8913254486293167,1.8889670968835486,0.8051055532199022,0.05526255539640509,5.0278033985325,0.4816693101114287,1.4613097380795454e-264,conditional_stage_rate_mixture
GTC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GSC_GB,gb_disconnection_sink,1919,1919,24.161020495480074,3.814036035760637,0.17847201571425444,77.73428937663176,2.3656436643279575,2.3540800828199697,1.1882500715639317,0.0864940341715454,6.0506539428036445,0.32172205074758486,6.490191485980124e-174,conditional_stage_rate_mixture
GSC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
TSC_GB,gb_disconnection_sink,1505,1502,5.923404589142323,0.9969273302459224,0.0806916858086609,9.602190581225786,1.7670085941963087,1.7670054381645133,0.9483202932221435,0.09174596779355171,4.294226353740225,0.09353185651454621,1.0178518240313468e-11,conditional_stage_rate_mixture
TSC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GTSC_GB,gb_disconnection_sink,1529,1529,29.798523885311926,4.186310061110937,0.21650455021357407,91.34403731448838,2.2299078451385332,2.2299340287337888,1.1028759808621817,0.09475818695513921,5.732004413624207,0.3477084067012125,3.331979390391062e-163,conditional_stage_rate_mixture
GTSC_GB,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
C_GBTJ,gb_disconnection_sink,520,520,9.313925967555768,1.079548207720567,0.033934351519478684,31.542676968338352,0.9016457345450215,0.9055974748727117,0.33580041618625167,0.029553521796162607,2.2252781102501054,0.32432892628205123,6.5796680141442345e-49,conditional_stage_rate_mixture
C_GBTJ,tj_sink,1501,1608,2.9370167075407045,0.16589729252008212,0.026945332703950036,8.99673643799,0.23096064585842305,0.2349600290111847,0.1424224792001359,0.029444224327709344,0.4553364668383154,0.2802720269619644,2.1208341933822012e-110,conditional_stage_rate_mixture
GC_GBTJ,gb_disconnection_sink,688,688,15.233466376256722,0.6958290715757016,0.05639223937814819,49.212507775866165,0.6852335614542723,0.6877778017453793,0.273404538399608,0.03068879202034341,1.5195869127727748,0.33525461106655974,5.909305717559703e-69,conditional_stage_rate_mixture
GC_GBTJ,tj_sink,1289,1399,4.264478849298835,0.15723468446853373,0.026357052859572152,14.182325540434492,0.22829550250789202,0.23299085114484203,0.13970541854819438,0.028290688327126574,0.4492922266453398,0.2838345296942485,7.237873485941196e-99,conditional_stage_rate_mixture
TC_GBTJ,gb_disconnection_sink,542,542,10.846616533366113,1.1638977078875765,0.03713263558184785,35.27903022523012,0.939406071946184,0.9380668166368721,0.35337003912050335,0.030138989453138924,2.3595876447164064,0.32626744745708325,1.3713134357802887e-51,conditional_stage_rate_mixture
TC_GBTJ,tj_sink,1519,1645,2.9437187695165474,0.16469585160186284,0.025903923152558406,8.617969171793163,0.25617474887090874,0.2680643428065696,0.14401247909346837,0.029499630609892098,0.4627307373782173,0.27441742654508616,3.6051765278337504e-108,conditional_stage_rate_mixture
SC_GBTJ,gb_disconnection_sink,1293,1291,10.409419545147381,1.3161929094173672,0.06985375111543135,24.617737953158667,1.2573937864061733,1.251166681374681,0.5694629068374614,0.0618584869849338,3.0766714359117007,0.2592372770529239,5.2331723487625614e-76,conditional_stage_rate_mixture
SC_GBTJ,tj_sink,4568,4888,2.8558909051705443,0.37847630075253846,0.04221786727735832,6.751509721302914,0.37633262826085506,0.3781491898193803,0.1663137356503262,0.03382836119587179,0.5614045018156884,0.35913461538461544,0.0,conditional_stage_rate_mixture
GTC_GBTJ,gb_disconnection_sink,688,688,15.710231804724907,0.7141886394905796,0.05486805658481729,53.0582533655798,0.6357332466125726,0.6340648419229732,0.26555566297172284,0.029929112207690716,1.3881912294520353,0.33563552526062546,4.088090135894357e-69,conditional_stage_rate_mixture
GTC_GBTJ,tj_sink,1274,1394,4.420658231814309,0.15200282149142197,0.02536424774971238,14.662139582512667,0.25917836052152715,0.2713794856737895,0.13901149785663502,0.027840907274794532,0.4526063893588164,0.2787095600864874,6.160301307245736e-95,conditional_stage_rate_mixture
