regime,sink_path,stage,events,observed_mean_residence,observed_median_residence,rate_implied_mean_residence,median_rate
C_GB,gb_disconnection_sink,nucleation,1486,0.0033007713011469343,0.002296557724552173,0.0033104657014256297,302.072303473604
C_GB,gb_disconnection_sink,exchange,1486,3.4894888941323e-05,4.851502310998512e-09,1.3069899852105369e-05,102298090.52878632
C_GB,gb_disconnection_sink,transport,1200,4.234850379969853,0.9094272148508722,1.9985051812074797,0.4676964995338599
C_GB,tj_sink,nucleation,0,,,,
C_GB,tj_sink,exchange,0,,,,
C_GB,tj_sink,transport,0,,,,
GC_GB,gb_disconnection_sink,nucleation,1528,15.422742792434187,4.866700557884483,0.0033104657014256292,302.072303473604
GC_GB,gb_disconnection_sink,exchange,1528,3.5452070810390976e-05,2.9584441563201835e-09,1.550394416011515e-05,111243507.18881679
GC_GB,gb_disconnection_sink,transport,1240,5.269675311595163,0.8051628257658647,1.9020496469475539,0.6365869021433093
GC_GB,tj_sink,nucleation,0,,,,
GC_GB,tj_sink,exchange,0,,,,
GC_GB,tj_sink,transport,0,,,,
TC_GB,gb_disconnection_sink,nucleation,1509,0.0032591635924586492,0.002260977712630563,0.0033104657014256292,302.072303473604
TC_GB,gb_disconnection_sink,exchange,1509,3.498938595627876e-05,3.07550607203666e-09,1.4142237472421916e-05,120188923.84884807
TC_GB,gb_disconnection_sink,transport,1214,4.488446232148445,0.8704774100264672,1.826867483796237,0.6365869021433093
TC_GB,tj_sink,nucleation,0,,,,
TC_GB,tj_sink,exchange,0,,,,
TC_GB,tj_sink,transport,0,,,,
SC_GB,gb_disconnection_sink,nucleation,2543,0.003484278028582996,0.002315163885228344,0.0033104657014256292,302.072303473604
SC_GB,gb_disconnection_sink,exchange,2543,2.4698474247990975e-05,2.4302766519213037e-06,1.2297562280651585e-05,190540.62882701162
SC_GB,gb_disconnection_sink,transport,2404,3.6890411706680895,1.114949630039007,2.018903499536474,0.4676964995338599
SC_GB,tj_sink,nucleation,0,,,,
SC_GB,tj_sink,exchange,0,,,,
SC_GB,tj_sink,transport,0,,,,
GTC_GB,gb_disconnection_sink,nucleation,1531,18.207070647823922,5.564451854005682,0.0033104657014256292,302.072303473604
GTC_GB,gb_disconnection_sink,exchange,1531,4.181082493989059e-05,7.113527544788667e-10,2.284712835509368e-05,371400839.6814212
GTC_GB,gb_disconnection_sink,transport,1253,4.74766867024341,0.9226354279232112,1.887992135799536,0.6365869021433093
GTC_GB,tj_sink,nucleation,0,,,,
GTC_GB,tj_sink,exchange,0,,,,
GTC_GB,tj_sink,transport,0,,,,
GSC_GB,gb_disconnection_sink,nucleation,2155,18.535624329148014,0.006160426475901204,0.003310465701425629,302.072303473604
GSC_GB,gb_disconnection_sink,exchange,2155,2.9884789135502112e-05,5.374545253289398e-11,1.4040453663426649e-05,12875826161.484829
GSC_GB,gb_disconnection_sink,transport,1919,6.832575489620728,1.2181452710248877,2.3623191581728684,0.4676964995338599
GSC_GB,tj_sink,nucleation,0,,,,
GSC_GB,tj_sink,exchange,0,,,,
GSC_GB,tj_sink,transport,0,,,,
TSC_GB,gb_disconnection_sink,nucleation,1634,0.0034881862091834756,0.002384071162452983,0.003310465701425629,302.072303473604
TSC_GB,gb_disconnection_sink,exchange,1634,3.2301360976116926e-05,1.9392527406125737e-07,1.2739575110942645e-05,2950769.6215770934
TSC_GB,gb_disconnection_sink,transport,1505,5.9114147662938885,0.9977489951013341,1.7636853889197721,0.6365869021433093
TSC_GB,tj_sink,nucleation,0,,,,
TSC_GB,tj_sink,exchange,0,,,,
TSC_GB,tj_sink,transport,0,,,,
GTSC_GB,gb_disconnection_sink,nucleation,1763,21.039305971406886,0.007092261269406208,0.0033104657014256292,302.072303473604
GTSC_GB,gb_disconnection_sink,exchange,1763,3.566312797092394e-05,6.931557550160505e-10,1.7598180306542815e-05,831433420.4148995
GTSC_GB,gb_disconnection_sink,transport,1529,11.029476642685715,1.2974405918733396,2.226579781256801,0.4676964995338599
GTSC_GB,tj_sink,nucleation,0,,,,
GTSC_GB,tj_sink,exchange,0,,,,
GTSC_GB,tj_sink,transport,0,,,,
C_GBTJ,gb_disconnection_sink,nucleation,1053,0.0033079935401834288,0.0022369422996870725,0.0033104657014256297,302.072303473604
C_GBTJ,gb_disconnection_sink,exchange,1053,6.332179621959549e-05,3.914081503353373e-09,3.1692893559456646e-05,89295289.6877898
