regime,temperature,n,n_ci_low,n_ci_high,K,K_ci,Q_app,Q_app_ci,jerkiness_CV,Fano,burstiness,reverse_motion_fraction,velocity_curvature_R2,pinned_fraction,number_of_events,number_of_realizations,Git_SHA
B0,900.0,1.000003016023265,1.0000000000353704,1.0000135714745337,0.028882873610152578,0.013928103305454631,,,0.8579048092297182,,-0.4283203502899094,,,,0,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
C2,900.0,1.0000031445456903,1.0000000001943448,1.0000141494599832,0.012446366941882727,0.006607640489604986,,,0.8699777736642963,,-0.3513623810258673,,,,4769,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
C3,900.0,1.0000067125706906,1.00000000024401,1.000016780992943,0.009338333251461509,0.005762858278681433,,,0.8930098942827739,,-0.34994758470424997,,,,4526,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
C4,900.0,1.0000063942036928,1.0000000002655298,1.0000161361822362,0.011520314320359644,0.007685985909549918,,,0.9411159373359824,,-0.3345223709524971,,,,4417,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
C5,900.0,1.0000067106741342,1.0000000002808551,1.0000169680823099,0.008989916986270783,0.005715677395340437,,,0.9624265964055019,,-0.32842160222498945,,,,4734,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
G1,900.0,1.000002487857746,1.000000000049264,1.0000111946952897,0.02381650453170967,0.013529286987287852,,,0.8603502990745728,,-0.4015098696842769,,,,939,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
G2,900.0,1.0000024878577463,1.000000000049264,1.0000111946952897,0.0238165045317097,0.013529286987287833,,,0.8603502990745728,,-0.4015098696842769,,,,939,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
P2,900.0,1.0000000001663467,1.0000000000563594,1.0000000002403058,0.02430798449897168,0.012882851765846895,,,0.8898413112284337,,-0.42269391060154293,,,,0,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
P3,900.0,1.0000000001663467,1.0000000000563594,1.000000000240306,0.02430798449897168,0.012882851765846895,,,0.8898413112284337,,-0.42269391060154293,,,,0,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
P4,900.0,1.0000065917571654,1.0000000002928264,1.0000164851392987,0.013624686637344544,0.011689642657760346,,,1.0237697154685597,,-0.28772253549208593,,,,193,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
S2,900.0,1.000002770491488,1.0000000001491087,1.0000124664040906,0.01654702796520096,0.0050252475114715344,,,0.8893876893254642,,-0.36351260368182636,,,,870,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
SC3,900.0,1.0000030160633298,1.0000000000280536,1.000013571493461,0.028261300486518766,0.013459935508742688,,,0.8496805371532203,,-0.4435184582252221,,,,32451,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
T1,900.0,1.0000096601966746,1.0000000002279705,1.000017099398296,0.011236458845687674,0.01159090245461423,,,1.0205606811429988,,-0.2922888864070083,,,,925,5,a3baa842b59b96d461c6afb52b5c6fc3654269d4
